Solution, Implementation Cost ($), Opportunity Cost ($), Particulate Nitrogen (t/yr), Sediment Production (t/yr), Total Nitrogen, Dissolved Nitrogen (t/yr)
8550-of-13898,150903840,12717154.44,204,110086,320,115
8551-of-13898,109441845,10798434.99,205,109440,330,125
8552-of-13898,109035941,9785647.72,206,109752,331,125
8553-of-13898,104918198,9440003.81,206,109775,331,126
8554-of-13898,149687444,11729244.1,205,110060,322,117
8555-of-13898,106971333,7672282.22,204,107569,345,141
8556-of-13898,54943402,3131327.18,212,109712,360,148
8557-of-13898,53432137,3069113.51,213,109897,361,148
8558-of-13898,53176934,3033024.61,213,109958,362,149
8559-of-13898,52676185,2967478.6,213,110235,363,149
8560-of-13898,85270514,9024232.72,210,111184,340,130
8561-of-13898,85229755,9015574.8,210,111186,340,130
8562-of-13898,268712568,24303140.05,200,104212,300,101
8563-of-13898,265494986,24240669.06,200,104267,300,101
8564-of-13898,79286548,7127090.87,205,109394,342,137
8565-of-13898,77514740,7021960.46,205,109442,344,139
8566-of-13898,77275821,6981599.07,205,109512,344,139
8567-of-13898,273389191,26862254.15,195,103239,295,101
8568-of-13898,254430507,24939425.22,196,104535,299,102
8569-of-13898,254008805,24917199.08,197,104933,300,103
8570-of-13898,37171976,2794604.16,213,110479,367,154
8571-of-13898,36470164,2676327.83,213,110495,367,154
8572-of-13898,36382449,2665886.48,213,110627,368,154
8573-of-13898,299636133,30905264.23,197,103301,294,97
8574-of-13898,299025290,30690109.69,197,103304,294,97
8575-of-13898,175555057,14260157.65,203,106896,318,115
8576-of-13898,263033076,25068972.42,200,104960,300,100
8577-of-13898,261562960,24922796.4,200,105041,300,100
8578-of-13898,255623775,24603903.93,201,105497,302,101
8579-of-13898,182653328,12922610.77,206,104347,339,133
8580-of-13898,171112513,12533107.22,206,104492,340,134
8581-of-13898,93429688,6801481.74,208,108805,343,135
8582-of-13898,91442891,6603557.01,208,108879,344,136
8583-of-13898,213638499,20332948.63,200,106305,307,108
8584-of-13898,212203262,20268601.3,200,106346,308,108
8585-of-13898,216594913,20569148.26,203,110983,306,103
8586-of-13898,214668139,18150935.19,203,110986,307,104
8587-of-13898,214444720,18150935.19,204,111010,307,104
8588-of-13898,213197986,18126548.34,204,111026,307,104
8589-of-13898,212834996,18064311.19,204,111027,308,104
8590-of-13898,82637958,5932496.49,210,111071,344,133
8591-of-13898,82611163,5932496.49,211,111076,344,133
8592-of-13898,81909703,5729697.97,211,111101,344,133
8593-of-13898,256440860,20798245.5,206,109535,307,101
8594-of-13898,250598600,20608992.89,206,109559,307,101
8595-of-13898,237089584,24397654.85,199,104896,302,103
8596-of-13898,235524698,24367644.24,199,104896,303,104
8597-of-13898,58331539,5146109.37,210,109128,351,141
8598-of-13898,57962359,5119403.86,210,109218,352,142
8599-of-13898,57530473,5114970.55,210,109228,352,142
8600-of-13898,113004816,13895896.15,205,106324,334,129
8601-of-13898,101607869,12609891.83,206,106897,338,132
8602-of-13898,95033565,11693869.37,207,107063,340,133
8603-of-13898,96325620,6024679.78,213,111137,344,131
8604-of-13898,98660790,6963863.82,209,108159,340,131
8605-of-13898,96699174,6933210.44,209,108263,340,131
8606-of-13898,101193706,10728219.38,203,108711,330,127
8607-of-13898,82376299,5890584.34,211,111077,344,133
8608-of-13898,104159654,10180598.08,213,111231,335,122
8609-of-13898,104144508,10180598.08,213,111236,335,122
8610-of-13898,145146498,12160183.62,204,110074,319,115
8611-of-13898,145031928,12148230.42,204,110208,320,115
8612-of-13898,166505375,13905265.25,204,110792,313,110
8613-of-13898,155711848,13449063.44,204,110866,314,110
8614-of-13898,153105204,13283535.81,204,110881,314,110
8615-of-13898,150013828,13009165.23,204,111029,314,110
8616-of-13898,149595724,12968195.62,204,111204,315,111
8617-of-13898,158453272,16714516.76,205,111024,314,109
8618-of-13898,155994811,16469989.75,205,111093,314,109
8619-of-13898,155938028,16469989.75,205,111095,314,109
8620-of-13898,155205401,16362040.01,205,111156,315,110
8621-of-13898,152739542,16159601.64,205,111180,315,110
8622-of-13898,55347134,3972859,209,111125,360,151
8623-of-13898,181488151,15198570.13,201,107243,315,114
8624-of-13898,167947570,14190353.32,203,107773,319,116
8625-of-13898,337783379,27464243.87,199,106861,295,96
8626-of-13898,332222340,26470300.61,199,106932,295,96
8627-of-13898,330704575,26443434.66,200,107044,295,96
8628-of-13898,86183552,5748556.84,207,111214,341,134
8629-of-13898,84608059,5670296.33,207,111225,341,134
8630-of-13898,44708716,3575877.51,212,110473,362,150
8631-of-13898,135217577,12021226.08,200,107575,325,125
8632-of-13898,254267835,23006941.14,203,108090,304,101
8633-of-13898,32982370,1761140.59,215,111257,374,159
8634-of-13898,32910866,1760406.6,215,111266,374,159
8635-of-13898,193639886,15624821.11,201,104842,316,114
8636-of-13898,192710110,15599960.46,202,105444,317,115
8637-of-13898,135439223,11946714.09,202,108691,324,122
8638-of-13898,87241739,7193339.22,205,108149,348,143
8639-of-13898,151917983,13065742.71,204,110039,319,115
8640-of-13898,229366950,25466961.58,202,108399,304,102
8641-of-13898,229336502,25466882.88,202,108399,304,102
8642-of-13898,113160911,10717601.85,203,106383,335,131
8643-of-13898,110398093,10491913.78,203,106422,335,132
8644-of-13898,107516425,10373596.26,203,106438,335,132
8645-of-13898,106553629,10228441.5,204,106545,336,132
8646-of-13898,99441448,6244549.14,213,111112,344,131
8647-of-13898,99268178,6228112.06,213,111143,344,131
8648-of-13898,99242201,6223820.13,213,111147,344,131
8649-of-13898,99239915,6223796.65,213,111148,344,131
8650-of-13898,162697987,15508327.83,204,110459,315,110
8651-of-13898,101348957,7958565.16,209,108711,339,129
8652-of-13898,104323515,7876990.53,209,108348,339,130
8653-of-13898,103962810,7814776.86,209,108348,340,131
8654-of-13898,90413519,7078260.03,209,108750,341,132
8655-of-13898,161682220,13254194.92,202,107340,319,117
8656-of-13898,161407300,13229807.57,203,107538,320,117
8657-of-13898,285051612,24645766.18,197,106121,298,101
8658-of-13898,284097010,24454409.72,197,106128,299,101
8659-of-13898,281927154,23264228.69,198,106613,300,102
8660-of-13898,123055335,9198809.97,204,109832,328,124
8661-of-13898,122483876,9140256.86,204,109980,328,124
8662-of-13898,122245276,9132407.67,204,109994,329,125
8663-of-13898,174508486,13646384.8,201,106753,318,117
8664-of-13898,174048382,13578576.77,201,106763,319,118
8665-of-13898,145172043,14720364.23,203,107018,321,117
8666-of-13898,165851400,14338103.08,204,110907,314,109
8667-of-13898,164560592,14174088.81,204,110911,314,109
8668-of-13898,139452319,11456455.42,204,108935,322,119
8669-of-13898,53140020,4040056.01,209,110839,363,154
8670-of-13898,179283200,16232895.64,201,107519,317,116
8671-of-13898,165531125,12965556.57,206,110264,319,113
8672-of-13898,143382464,11505009.97,205,108849,322,117
8673-of-13898,142888012,11467385.31,206,109104,323,118
8674-of-13898,142847253,11458727.39,206,109105,323,118
8675-of-13898,294641236,24603912.78,199,107244,297,98
8676-of-13898,285243520,21303635.96,203,109188,303,100
8677-of-13898,137436722,12424208.26,200,106774,325,124
8678-of-13898,133472267,12036399.67,201,106903,326,125
8679-of-13898,242309187,21585684.11,200,106502,303,103
8680-of-13898,108224529,11382403.14,204,106992,335,131
8681-of-13898,106091366,11115392.1,204,107079,335,131
8682-of-13898,116172253,13205386.89,201,107207,327,126
8683-of-13898,116131494,13196728.97,201,107208,327,126
8684-of-13898,115958990,13156639.19,201,107237,327,126
8685-of-13898,70008302,6432712.81,209,107949,352,143
8686-of-13898,73491443,6272633.78,206,109561,348,142
8687-of-13898,72003198,5854461.42,208,110546,346,138
8688-of-13898,71946116,5854461.42,208,110552,346,138
8689-of-13898,70001511,5683561.74,208,110593,346,139
8690-of-13898,188848593,16955742.07,200,103252,318,118
8691-of-13898,184892297,15003686.92,203,104681,324,121
8692-of-13898,182940945,14465569.69,201,106537,317,116
8693-of-13898,182912697,14465569.69,201,106539,317,116
8694-of-13898,175706124,15480923.35,201,106311,313,111
8695-of-13898,166883642,13339686.14,204,108133,318,114
8696-of-13898,164120824,13113998.07,204,108147,318,114
8697-of-13898,161355762,13024707.95,204,108156,320,116
8698-of-13898,215886474,20470186.23,204,110985,307,102
8699-of-13898,215874360,20459173.77,204,110985,307,102
8700-of-13898,142916955,11709277.4,201,107842,323,122
8701-of-13898,136587624,11021856.11,202,108253,324,123
8702-of-13898,134270491,10907942.52,202,108313,324,123
8703-of-13898,40155826,3396794.12,212,110218,365,153
8704-of-13898,149454898,12152741.29,204,108906,322,118
8705-of-13898,146597114,11345490.75,204,108973,322,118
8706-of-13898,124749179,7804784.04,210,110279,335,125
8707-of-13898,124142050,7745812.51,211,110584,337,126
8708-of-13898,124129794,7744444.96,211,110584,337,126
8709-of-13898,123499264,7722263.42,211,110599,337,126
8710-of-13898,284530472,25303435.25,200,105553,298,98
8711-of-13898,266099838,22722866.58,201,105773,301,101
8712-of-13898,265906712,22712612.13,201,105980,302,101
8713-of-13898,62748155,6281337.68,207,109215,355,148
8714-of-13898,62461152,6281337.68,207,109292,356,148
8715-of-13898,184026482,16617651.66,200,108220,312,112
8716-of-13898,184024196,16617628.18,200,108221,312,112
8717-of-13898,89305758,6927741.62,205,108302,344,139
8718-of-13898,78265903,6645442.41,205,108472,344,139
8719-of-13898,124108177,12626602.83,200,105865,332,131
8720-of-13898,206998777,20530349.36,203,111010,307,103
8721-of-13898,206926968,20530349.36,203,111013,307,103
8722-of-13898,110258748,9794104.07,206,110593,330,123
8723-of-13898,101147204,8673055.81,207,110644,331,125
8724-of-13898,101037494,8671161.81,207,110694,332,125
8725-of-13898,76222027,5356630.39,210,109355,345,135
8726-of-13898,73527362,5305538.03,211,109643,347,136
8727-of-13898,93372647,6723806.04,213,111296,341,128
8728-of-13898,93360904,6720212.51,213,111296,341,128
8729-of-13898,99527825,6280860.35,206,109171,343,137
8730-of-13898,99240822,6280860.35,207,109249,343,137
8731-of-13898,124361754,8713165.33,204,109063,331,127
8732-of-13898,123211848,8628200.1,204,109067,331,127
8733-of-13898,113426462,8297689.07,204,109404,332,128
8734-of-13898,137029424,9596061.58,208,110463,327,119
8735-of-13898,134642426,9482501.66,208,110480,327,119
8736-of-13898,62465857,4882470.03,207,110100,352,145
8737-of-13898,62435409,4882391.33,207,110100,352,145
8738-of-13898,62262905,4842301.55,207,110129,352,145
8739-of-13898,59695329,4585233.12,208,110506,355,147
8740-of-13898,123536806,9975604.92,205,108921,327,122
8741-of-13898,122158564,9748825.13,206,109074,330,124
8742-of-13898,33651975,1781115.48,215,111143,374,159
8743-of-13898,33534585,1781092,215,111156,374,159
8744-of-13898,72177235,6429684.25,209,107741,349,140
8745-of-13898,71922033,6393595.35,209,107802,350,141
8746-of-13898,71628397,6356156.08,209,107878,351,142
8747-of-13898,67802040,5927365.04,209,108196,352,143
8748-of-13898,86105858,7600572.45,208,107708,342,134
8749-of-13898,70234824,6575748.9,208,108005,350,142
8750-of-13898,70186740,6571862.7,208,108005,350,142
8751-of-13898,68821161,6453395.06,209,108109,351,142
8752-of-13898,91775698,7013373.32,208,109061,340,132
8753-of-13898,81155440,6573608.59,208,109242,341,133
8754-of-13898,75309947,6377320.62,209,109743,343,134
8755-of-13898,73875638,6257081.08,209,109856,344,134
8756-of-13898,73804134,6256347.09,209,109866,344,134
8757-of-13898,117886456,9248733.55,205,110884,323,117
8758-of-13898,182373625,16804629.88,202,110308,309,107
8759-of-13898,181815946,16789400.65,202,110339,309,107
8760-of-13898,158799243,15594476.03,199,105380,322,123
8761-of-13898,158589518,15563198.77,199,105380,322,123
8762-of-13898,147013018,14936665.64,199,105639,323,124
8763-of-13898,130708085,13517004.34,200,105967,327,127
8764-of-13898,273055332,23721152.31,198,106811,300,102
8765-of-13898,86795757,6416659.72,206,108301,349,143
8766-of-13898,247928037,24626848.26,204,110578,304,100
8767-of-13898,151147230,15410059.26,201,106668,321,121
8768-of-13898,136833973,12138377.49,203,107931,324,122
8769-of-13898,267678977,23663123.59,202,105734,303,101
8770-of-13898,257565097,21700968.45,203,110550,302,99
8771-of-13898,79360678,6221465.95,208,110801,343,135
8772-of-13898,79137257,6221465.95,208,110816,343,135
8773-of-13898,77890523,6197079.1,208,110833,343,136
8774-of-13898,77640039,6157143.92,208,110837,343,136
8775-of-13898,129993975,13149006.52,207,109153,324,117
8776-of-13898,128430492,13074869.47,207,109296,325,117
8777-of-13898,130744817,13650242.44,204,111007,322,118
8778-of-13898,130630352,13645178.24,204,111009,322,118
8779-of-13898,127901997,13264327.92,204,111035,323,119
8780-of-13898,31146172,2614537.51,212,110043,368,156
8781-of-13898,28311920,2015604.64,213,110415,370,157
8782-of-13898,27817468,1977979.98,214,110671,371,157
8783-of-13898,67211027,6656740,206,109605,354,148
8784-of-13898,66968276,6620379.88,206,109606,354,148
8785-of-13898,66156585,6550156.83,206,109606,355,149
8786-of-13898,196159008,18473220.51,200,106548,310,110
8787-of-13898,151739150,16060127.67,204,105302,325,121
8788-of-13898,149374288,12943778.37,200,107672,321,120
8789-of-13898,146782225,12660652.25,200,107771,321,121
8790-of-13898,303804740,32516686.14,196,102675,294,98
8791-of-13898,299668457,29952671.67,196,102733,294,98
8792-of-13898,290634254,29005795.29,196,102765,295,98
8793-of-13898,245348829,28257069.44,201,107068,302,101
8794-of-13898,243887801,28183873.13,201,107076,303,101
8795-of-13898,234404690,25399170.26,201,107082,303,102
8796-of-13898,99884521,7833391.51,209,109137,337,127
8797-of-13898,96655783,7678555.35,210,109231,340,131
8798-of-13898,119996619,10054479.46,205,111240,326,121
8799-of-13898,118356821,9898876.51,205,111259,326,121
8800-of-13898,116540015,9780076.7,205,111284,326,121
8801-of-13898,157415653,12685713.9,205,110729,318,113
8802-of-13898,169080023,12479057.42,201,106307,323,122
8803-of-13898,168841104,12438696.03,201,106377,323,122
8804-of-13898,116542857,8240527.9,205,111161,329,124
8805-of-13898,115750072,8196457.42,205,111224,330,124
8806-of-13898,115632331,8196457.42,205,111227,330,124
8807-of-13898,206884257,19868791.52,199,104774,307,108
8808-of-13898,202191788,16904261.45,199,104795,307,109
8809-of-13898,200164138,16819528.72,199,104809,310,111
8810-of-13898,182540879,13906126.7,203,107383,317,115
8811-of-13898,187365359,14732959.98,200,106686,317,117
8812-of-13898,274193310,24763298.79,206,108858,304,98
8813-of-13898,264859851,23588662.51,206,108889,304,98
8814-of-13898,262709535,23306851.59,206,109038,305,99
8815-of-13898,276813983,26496628.83,203,107055,302,99
8816-of-13898,216664807,21086073.8,203,110988,306,103
8817-of-13898,170670049,13676252.68,204,110675,315,111
8818-of-13898,168782701,13297914.28,204,110676,316,112
8819-of-13898,167930252,13219033.31,204,110678,316,112
8820-of-13898,167714353,13217064.52,204,110713,316,112
8821-of-13898,141089766,9830475.45,204,109256,325,121
8822-of-13898,125793182,8482283.11,205,110040,330,125
8823-of-13898,80235344,5568710.2,207,111145,346,139
8824-of-13898,83009093,7063559.83,206,107640,351,144
8825-of-13898,81545781,6859455.78,206,107685,351,144
8826-of-13898,159831288,12637481.53,204,110789,318,114
8827-of-13898,235772055,19653260.4,203,110568,306,102
8828-of-13898,224909046,19177135.55,203,110613,306,103
8829-of-13898,224124675,19063847.95,204,110624,307,103
8830-of-13898,214156516,17403947.8,204,110799,308,104
8831-of-13898,85263580,7458148.89,204,108623,343,139
8832-of-13898,82045998,7395677.9,204,108637,343,139
8833-of-13898,81024017,7360008.6,205,109104,345,139
8834-of-13898,97783885,6605225.14,212,111315,341,128
8835-of-13898,97202166,6593975.42,212,111324,341,128
8836-of-13898,96742061,6526167.39,212,111333,341,129
8837-of-13898,126562701,9576294.67,210,110071,330,120
8838-of-13898,126389432,9559857.59,210,110101,331,120
8839-of-13898,104386492,6653253.39,213,111221,342,128
8840-of-13898,173206893,13561844.05,205,111143,314,110
8841-of-13898,172625173,13550594.33,205,111162,314,110
8842-of-13898,169388340,13455611.93,205,111183,314,110
8843-of-13898,168421494,13445687.25,205,111193,315,110
8844-of-13898,167226194,13417295.38,205,111204,315,110
8845-of-13898,93591564,6204198.85,205,108565,342,137
8846-of-13898,93386529,6186760.23,205,108566,342,137
8847-of-13898,140818542,14489163.58,204,110975,318,115
8848-of-13898,140243334,14421355.55,204,110996,319,115
8849-of-13898,140186252,14421355.55,204,111002,319,115
8850-of-13898,137584531,14117923.3,204,111072,320,116
8851-of-13898,126655107,13016041.96,201,106441,326,125
8852-of-13898,126127457,12975875.69,201,106442,327,126
8853-of-13898,125664729,12947625.04,201,106445,327,126
8854-of-13898,118825081,12028337.34,202,106788,329,127
8855-of-13898,109926362,10978072.18,202,106820,329,128
8856-of-13898,91643018,6061535.67,205,108598,343,138
8857-of-13898,118920209,8622902.89,203,107337,338,136
8858-of-13898,77899933,6246104.19,205,109342,345,139
8859-of-13898,77056806,6175881.14,205,109344,345,139
8860-of-13898,77012655,6168031.95,205,109344,345,140
8861-of-13898,325023104,27712405.16,206,106688,301,95
8862-of-13898,324476048,27712405.16,206,106784,302,95
8863-of-13898,324404239,27712405.16,206,106787,302,95
8864-of-13898,116925058,12879250.73,202,107568,328,126
8865-of-13898,64830685,4929001.16,208,110243,353,145
8866-of-13898,117541397,8511944.4,208,110916,332,124
8867-of-13898,111119776,10247565.35,201,107995,329,128
8868-of-13898,108975148,10173741.54,201,108026,329,128
8869-of-13898,108974483,10173648.4,201,108027,329,128
8870-of-13898,108554780,10164447.15,201,108057,329,128
8871-of-13898,106618175,10003050.9,202,108139,331,130
8872-of-13898,154340288,12744836.79,210,110186,323,113
8873-of-13898,153979583,12682623.12,210,110187,324,114
8874-of-13898,134116713,10208211.08,203,105732,338,135
8875-of-13898,90821190,9366920.28,209,110845,337,127
8876-of-13898,90605292,9364951.49,209,110880,337,127
8877-of-13898,122893614,10994628.05,205,110779,325,120
8878-of-13898,121602807,10830613.78,205,110783,325,120
8879-of-13898,121000436,10706754.13,205,110792,325,120
8880-of-13898,205996513,19087236.24,198,104798,312,114
8881-of-13898,213572843,20355800.84,204,111022,307,102
8882-of-13898,213532084,20347142.92,204,111024,307,102
8883-of-13898,213516940,20347142.92,204,111031,307,102
8884-of-13898,213267024,20308824.3,204,111037,307,102
8885-of-13898,231038006,25774140.47,199,106510,301,103
8886-of-13898,228980266,25703778.07,199,106694,302,103
8887-of-13898,226202061,25336856.16,199,106705,302,103
8888-of-13898,274002705,20687769.95,204,108398,306,102
8889-of-13898,49463527,4376832.06,212,110328,357,145
8890-of-13898,48894325,4325062.96,212,110363,357,146
8891-of-13898,29134612,2712032.12,215,111226,371,156
8892-of-13898,23251952,2513188.25,215,111318,374,159
8893-of-13898,58084791,4315310.68,208,109543,363,155
8894-of-13898,205223914,19629718.11,199,104784,307,109
8895-of-13898,68017222,7071040.41,207,108743,355,148
8896-of-13898,67387294,6950339.71,207,108762,355,149
8897-of-13898,79398511,7323077.56,206,110191,342,136
8898-of-13898,58954225,3809365.87,213,110597,351,138
8899-of-13898,58392063,3695873.68,213,110618,351,139
8900-of-13898,58320559,3695139.69,213,110627,351,139
8901-of-13898,53063071,3546568.42,213,110697,354,141
8902-of-13898,52644967,3505598.81,213,110872,355,142
8903-of-13898,147354707,12001419.97,203,110156,320,117
8904-of-13898,132941723,12673128.82,200,106571,325,126
8905-of-13898,34931598,3102509.91,213,110474,366,152
8906-of-13898,34062993,3049815.91,214,110700,367,153
8907-of-13898,34060707,3049792.43,214,110700,367,153
8908-of-13898,33521426,2351305.24,214,110862,368,154
8909-of-13898,167807022,15993613.58,204,110441,314,110
8910-of-13898,167655412,15993613.58,204,110463,314,110
8911-of-13898,165259254,12262618.06,205,110718,318,113
8912-of-13898,223915514,16897831.24,205,110166,311,106
8913-of-13898,221490371,16873071.89,205,110186,311,106
8914-of-13898,133414807,11519186.94,204,106182,329,126
8915-of-13898,122215569,11130451.93,212,111253,329,116
8916-of-13898,122354662,9562043.24,204,107912,330,126
8917-of-13898,121203911,9474752.31,204,107923,330,126
8918-of-13898,120096452,9352207.08,204,107935,330,126
8919-of-13898,119957863,9352207.08,204,107982,330,126
8920-of-13898,116104657,8202282.77,204,108389,333,129
8921-of-13898,60549340,4802754.02,207,109425,356,149
8922-of-13898,59199682,4733226.05,208,109628,358,150
8923-of-13898,55082291,4236701.37,209,110051,361,152
8924-of-13898,140653215,15037563.23,204,111300,317,113
8925-of-13898,140403299,14999244.61,204,111306,317,113
8926-of-13898,155875920,14491096.61,203,106077,320,117
8927-of-13898,152792024,12976125.25,204,106651,322,118
8928-of-13898,102773703,11390004.81,201,106899,336,135
8929-of-13898,93041041,10714990.31,201,107117,338,136
8930-of-13898,92997863,10711396.78,201,107117,338,136
8931-of-13898,256474671,24668232.29,201,106897,302,101
8932-of-13898,68239360,4746987.78,209,111045,348,139
8933-of-13898,66467553,4641857.37,209,111093,350,141
8934-of-13898,65743454,4446582,209,111093,351,141
8935-of-13898,42751102,6259879.34,213,110836,359,146
8936-of-13898,118199265,9663829.79,206,107241,331,125
8937-of-13898,109240947,8794439.78,207,107602,332,126
8938-of-13898,105558941,8548313.77,208,108001,335,128
8939-of-13898,100149299,8241186.96,208,108164,336,128
8940-of-13898,100099397,8239221.21,208,108596,337,128
8941-of-13898,153034945,12516557.38,200,106177,324,124
8942-of-13898,151279469,12387414.3,200,106224,324,124
8943-of-13898,158972995,12622898.37,205,110597,318,114
8944-of-13898,184652585,17570737.66,199,105889,314,115
8945-of-13898,167471669,16410849.7,200,106539,317,118
8946-of-13898,161508593,15523063.17,200,106567,318,118
8947-of-13898,116357239,10173398.18,204,106488,334,130
8948-of-13898,116035260,10172137.59,205,106566,334,130
8949-of-13898,171096016,17215527.81,202,110454,311,108
8950-of-13898,160252355,15811831.61,203,110682,313,110
8951-of-13898,158435549,15693031.8,203,110708,313,110
8952-of-13898,156193571,15352652.24,203,110746,313,110
8953-of-13898,155933351,15302121.11,203,110907,314,111
8954-of-13898,183850743,16072610.12,203,107103,314,111
8955-of-13898,183690476,15810211.47,203,107103,314,111
8956-of-13898,120191897,9387246.63,203,108865,330,127
8957-of-13898,113698370,8784451.43,203,109005,331,128
8958-of-13898,107115332,7809677.4,204,109639,333,129
8959-of-13898,105021046,7754531.32,204,109838,334,129
8960-of-13898,249387171,23058462.94,204,108800,305,100
8961-of-13898,236429066,21628946.75,205,109080,306,101
8962-of-13898,217486692,20502724.5,205,109291,308,103
8963-of-13898,216335941,20415433.57,205,109302,308,103
8964-of-13898,167908956,15697054.04,205,109605,316,111
8965-of-13898,167893812,15697054.04,205,109612,316,111
8966-of-13898,53183224,5180998.54,208,110557,361,153
8967-of-13898,52720497,5152747.89,209,110560,362,153
8968-of-13898,153213093,13250420.12,203,108789,321,118
8969-of-13898,202285827,20843460.08,203,108854,307,105
8970-of-13898,202076102,20812182.82,203,108855,307,105
8971-of-13898,282912004,24572871.88,201,108676,299,98
8972-of-13898,281896470,24517725.8,201,108693,299,98
8973-of-13898,124620682,12677702.86,200,105865,332,131
8974-of-13898,123251839,12650836.91,201,105900,332,131
8975-of-13898,117076605,11840213.34,201,105999,333,132
8976-of-13898,113232392,11586452.71,201,106060,333,132
8977-of-13898,113117288,11586452.71,201,106072,333,132
8978-of-13898,248277533,24018286.7,199,106967,302,102
8979-of-13898,107053492,8201752.68,212,110620,335,123
8980-of-13898,105644100,7963883.51,212,110950,337,124
8981-of-13898,105632357,7960289.98,212,110950,337,124
8982-of-13898,56229483,4132223.64,211,110365,354,143
8983-of-13898,56150138,4129927.77,212,110790,355,143
8984-of-13898,137440830,10705375.78,204,110442,321,117
8985-of-13898,129037742,9633826.15,204,110466,321,118
8986-of-13898,101579871,8397509.77,207,106961,341,134
8987-of-13898,101464767,8397509.77,207,106973,341,134
8988-of-13898,101177764,8397509.77,207,107050,341,134
8989-of-13898,142535983,12032283.68,205,111369,318,113
8990-of-13898,142487899,12028397.48,205,111369,318,113
8991-of-13898,160806401,14093386.04,202,106927,320,119
8992-of-13898,148680442,13435984.95,202,107159,322,120
8993-of-13898,145954433,13034200.44,202,107353,323,121
8994-of-13898,110880601,8531892.17,207,110202,330,124
8995-of-13898,109122884,8440931.31,208,110755,332,125
8996-of-13898,108981015,8440931.31,208,110784,333,125
8997-of-13898,262085752,21071424.66,201,108784,304,103
8998-of-13898,255725162,20119593.26,201,108815,304,103
8999-of-13898,255626558,20119593.26,201,108823,304,103
9000-of-13898,106910550,7339754.98,204,107957,340,136
9001-of-13898,99892849,7065364.12,205,108534,342,137
9002-of-13898,99165642,7042839.14,205,108543,342,137
9003-of-13898,93323382,6853586.53,205,108566,342,137
9004-of-13898,78422195,5765642.27,206,109984,344,138
9005-of-13898,77686110,5604831.61,206,110119,344,139
9006-of-13898,77422923,5567471.04,206,110195,345,139
9007-of-13898,85249974,6833668.14,206,106853,347,141
9008-of-13898,83731678,6756987.27,207,106995,349,142
9009-of-13898,83729392,6756963.79,207,106995,349,142
9010-of-13898,83168377,6554072.13,207,107010,349,142
9011-of-13898,45958397,3368785.28,213,110823,359,146
9012-of-13898,43930747,3284052.55,213,110838,362,148
9013-of-13898,220645921,16686377.52,200,107733,311,111
9014-of-13898,217764253,16568060,200,107749,311,111
9015-of-13898,128989556,12407416.34,203,109050,323,120
9016-of-13898,128428083,12351025.92,203,109067,324,121
9017-of-13898,127412548,12295879.84,203,109084,324,121
9018-of-13898,82906570,7711951.12,204,108384,338,134
9019-of-13898,82429748,7693039.09,205,109145,339,134
9020-of-13898,75900202,7322963.63,206,109399,343,137
9021-of-13898,72041427,7123999.54,206,109463,347,142
9022-of-13898,84687852,6448791.99,208,111422,340,132
9023-of-13898,83433327,6008674.07,210,110969,343,133
9024-of-13898,214365805,20168931.03,205,109326,308,103
9025-of-13898,95778765,6204937.24,207,109657,342,136
9026-of-13898,164704017,15385294.28,208,110073,316,108
9027-of-13898,161817025,15266878.56,209,110539,317,109
9028-of-13898,160967255,15113296.59,209,110601,318,110
9029-of-13898,232506829,21757891.21,201,109370,304,103
9030-of-13898,43598130,3324569.27,213,110946,362,148
9031-of-13898,43166244,3320135.96,213,110972,362,148
9032-of-13898,71988753,6997155.33,209,109170,347,137
9033-of-13898,70875103,6878557.92,210,109213,348,138
9034-of-13898,56785953,5525310.4,209,108317,357,148
9035-of-13898,55954732,5465463.97,209,108500,358,149
9036-of-13898,237530392,19432030.59,204,110429,306,102
9037-of-13898,234063782,18588302.35,204,110477,307,103
9038-of-13898,167164268,17336278.74,202,110304,313,110
9039-of-13898,156840810,15902047.47,203,110462,315,112
9040-of-13898,155737188,15754471.91,203,110672,316,113
9041-of-13898,171012959,17614536.51,205,109201,316,110
9042-of-13898,170977983,17613275.92,205,109201,316,110
9043-of-13898,108290573,8534110.81,206,111243,329,123
9044-of-13898,107165738,8376677.56,206,111289,330,124
9045-of-13898,153558010,11531617.57,205,110776,319,114
9046-of-13898,263349335,22765085.31,200,104474,301,101
9047-of-13898,263085463,22763191.31,200,104523,302,101
9048-of-13898,134184549,11596289.43,202,108788,324,122
9049-of-13898,130058873,11337098.12,202,108809,324,122
9050-of-13898,127914245,11263274.31,202,108841,324,122
9051-of-13898,308661792,25651582.04,199,107165,297,98
9052-of-13898,157180150,12563254.82,205,110317,318,113
9053-of-13898,156642325,12562916.59,205,110333,319,114
9054-of-13898,156394991,12560947.8,205,110369,319,114
9055-of-13898,203239982,20098683.27,197,103243,308,110
9056-of-13898,194178595,18364533.5,198,103635,311,113
9057-of-13898,190961013,18302062.51,198,103690,311,113
9058-of-13898,134257823,10208211.08,203,105722,338,135
9059-of-13898,134186319,10207477.09,203,105731,338,135
9060-of-13898,212357830,18208810.98,204,111124,307,103
9061-of-13898,121979283,12095804.39,204,109535,326,122
9062-of-13898,118475611,11973252.75,204,109549,326,122
9063-of-13898,238151105,24100901.08,196,102771,301,104
9064-of-13898,236653873,23828797.67,196,102785,301,104
